Anul,Titlu
1929,DE PETROLEUMBRAND TE MORENI.
1913,Astra-Romana
1914,LAATSTE BERICHTEN. FINANCIEELE BERICHTEN.
1914,Uit de Petroleumindustrie.
1915,Uit de Petroleum-Industrie.
1931,Uitbreiding van den petroleumbrand te Moreni. Meer dan 10 millioen Lei schade.
1930,DE PETROLEUMBRAND TE MORENI.
1930,DE PETROLEUMBRANDEN TE MORENI.
1931,PETROLEUMBRAND BIJ MORENI. Van zelf gebluscht.
1914,Petroleum Mij. Astra Romana.
1939,"De Roemeensche olieveden Moreni aan den voet der Trans-sylvanische Alpen, die luidens het tus- Schen Roemnti een Duitschla nd gesloten verdrag naast de overige Boemeensche oliebronnen Duitsch- land van olie zullen voorzien."
1929,ROEMENIë. De groote petroleumbrand te Moreni.
1931,Petroleumbrand te Moreni. Meer dan 10 millioen schade.
1929,De petroleumbrand te Moreni.
1926,Petroleum»iudustrie.
1931,ROEMENIE. DE BRAND TE MORENI UITGEBREID.
1931,ROEMENIE
1929,ROEMENIE. ONTPLOFFING OP DE PETROLEUMVELDEN. Vijf dooden.
1931,De petroleum brand te Moreni TEN TWEEDEN MALE GEDOOFD
1931,DE PETROLEUMBRAND BIJ MORENI. Na 2½ jaar vanzelf gebluscht.
1931,IN HET PETROLEUMGEBIED VAN MORENI. Opnieuw brand uitgebroken.
1929,ROEMENIE. Ontploffing op de petroleumvelden.
1929,DE PETROLEUMBRAND BIJ MORENI.
1931,ROEMENIE. De petroleumbrand bij Moreni.
1931,ROEMENIË. PETROLEUMBRAND BIJ MORENI.
1930,ROEMENIE. DE PETROLEUMBRANDEN TE MORENI. Geen heep meer op stuiting.
1930,DE PETROLEUMBRANDEN TE MORENI.
1929,DE BALKAN. Petroleumbrand in Moreni. — Een dozijn Boortorens in lichtelaaie.
1929,De peboleumbrand te Moreni breidt zich uit.
1929,"ONTPLOFFING OP DE PETROLEUM-VELDEN. Vijf dooden. BOEKAREST, 30 Juli."
1931,Gemengde Buitenlandsche Berichten
1931,Gemengde Buitenlandsche Berichten
1931,Gemengde Buitenlandsche Berichten
1930,DE PETOLEUMBRANDEN TE MORENI Geen hoop meer op stuiting
1930,De petroleumbrand te Moreni. Nieuwe ontploffingen.
1930,ROEMENIE De petroleumbranden te Moreni.
1931,WEER EEN PETROLEUMBRAND TE MORENI.
1915,Astra Romana.
1915,Astra Romana.
1925,Het petroleumgebied van Moreni (Roemenië).
1931,ROEMENIE. PETROLEUMBRAND BIJ MORENI. Van zelf gebluscht.
1916,Astra Romana.
1932,OLIESPUITERS IN ROEMENIE. Streek bij Moreni overstroomd.
1930,DE PETROLEUMBRANDEN TE MORENI.
1929,DEPETROLEUMBRAND TE MORENI Millioenen schade
1913,Uit de Petroleum-industrie.
1914,Uit de Petroleumindustrie.
1930,FINANCIËN DE ROEMEENSCHE PETROLEUMINDUSTRIE Verschillende cijfers over 1929
1930,FINANCIËN DE ROEMEENSCHE PETROLEUM-INOUSTRIE
1914,Uit de Petroleum-industrie.
1911,Uit de Patroleumindustrie.
1911,Uit de petroleumindustrie.
1915,Uit de Petroleum-industrie.
1916,Petroleum Mpij. Astra Romana.
1926,(Ingezonden Mededeeling.) PHOENIX OIL AND TRANSPORT. INDRUKKEN VAN DEN REDACTEUR VAN DE „FINANCIAL TIMES” BIJ EEN BEZOEK AAN DE BEZITTINGEN. MERKWAARDIGE VOORUITGANG.
1981,Renaissance
1931,DE PETROLEUMBRAND TE MORENI GEëINDIGD.
1929,DE PETROLEUMBRAND TE MORENI Neemt steeds ernstiger afmetingen aan.
1930,DE BRAND IN HET ROEMEENSCHE PETROLEUMGEBIED.
1925,Brand op de Roemeensushe olieterreinem.
1929,DE PETROLEUMBRAND TE MORENI. Uitbreiding.
1929,ROEMEENSCHE PETROLEUM-INDUSTRIE. De brand te Moreni.
1930,ROEMENIE. De petroleumbrand in Moreni.
1931,De petroleumbrand te Moreni ten einde. Na 2½ jaar vanzelf uitgegaan.
1931,De petroleumbrand te Moreni ten einde. Na 2½ jaar vanzelf uitgegaan.
1930,ROEMENIë. De petroleumbrand in Moreni.
1929,NIET TE BLUSSCHEN PETROLEUMBRAND IN MORENI. Bij een ontploffing vijf arbeiders gedood.
1929,DE PETROLEUMBRAND TE MORENI. Uitbreiding.
1913,Uitge Bijnaren.
1926,"UIT DE ROEMEENSCHE PETROLEUMINDUSTRIE. Handhaving productie, — Lage benzineprijzen."
1930,DE PETROLEUMBRANDEN IN ROEMENIE.
1916,Uit de Petroleumindustrie.
1916,Astra Romana.
1929,De pogingen tot blussching van den petroleurnbrand te Moreni nog steeds vergeefsch.
1916,Productiecijfers.
1914,Petroleum-Mij. „Astra Romana”.
1928,"Gemengde Berichten. NEDERLANDER OMGEKOMEN. J.P. Veldermsn, ttn der dappere beormeestefs van de „Astra” te Moreni."
1928,ASTRA ROMANA. Verminderde productie. — Betaling oorlogsschadevergoeding.
1914,Uit de Petroleum-industrie.
1929,ROEMENIE De petroleumbrand te Moreni.
1929,ROEMENIE De petroleumbrand te Moreni.
1928,EEN DAPPERE ROTTERDAMMER OMGEKOMEN.
1931,"in uw pijp: v. ROSSEM’s TROOST Een oliebron, die al 18 maanden in brand staat. De petroleumfakkel van Moreni. Militairen zetten den dalketel af. Een ongelukkig dorp."
1929,ROEMENIE. DE PETROLEUMBRAND TE MORENI. De pogingen tot blussching nog steeds tevergeefs.
1928,UIT DE ROEMEENSCHE PETROLEUM-INDUSTRIE. Kalme stemming. — Dagelijksche productie ca. 1100 wagons. — Vaste prijzen ruwe petroleum.
1913,Renseignements économiques et commerciaux
1925,ROEMENIE.
1925,UNIREA.
1926,COLOMBIA. Nieuwe concessie op Moreni.
1931,PETROLES DE MORENI. Kapitaalsreconstructie.
1929,De ontzaglijke petroleumbranden bij Moreni in
1926,STEAUA ROMANA. Bron no. 210 te Moreni verzand.
1931,"De beroemde petroleumsonde te Moreni (Roemenië), welker brand in September"
1929,De petroleumbrand gebluscht.
1925,ROMANA AMERICANA.
1928,ASTRA ROMANA. Brand in bron Moreni 298 gebluscht.
1910,Petroleum in Moreni (Roemenië).
1929,STEAUA ROMANA. Productie bronnen 2 Moreni en 1 Ceptura.
1930,PETRLEUMBRANDEN. Nog een foto van de reeds sinds maanden woedende petroleum brand bij Moreni in Rumenië.
1927,ASTRA ROMANA. Bron 289 in Moreni produceert 120 ton per dag.
1905,De Romano-Americana.
1922,Uit de Roameensche Petroleeumindustrie.
1931,ZES MILLIOEN WERKLOOZEN.
1930,DE PETROLEUMBRAND TE MORENI.
1914,Astra Romana.
1929,ROEMENIË. DE GEWELDIGE PETROLEUMERAND IN MORENI.
1929,DE GEWELDIGE PETROLEUMBRAND IN MORENI
1929,GEWELDIGE PETROLEUMLRAND IN MORENI.
1926,De Roemeensche Petloleum-Industrie.
1912,Astra Romana.
1913,"Petroleum Mij. „Astra Romana"""
1913,Uit de Petroleum-industrie.
1928,UIT DE ROEMEENSCHE PETROLEUMINDUSTRIE. Heftige binnenlandsche concurrentie Prijsdaling.
1929,Brand in de onderwereld PETBOLEUMBRANDEN BIJ MORENI NEMEN STEEDS DREIGENDER AFMETINGEN AAN. Onderaardsch gerommei wekt ongerustheid.
1929,Torenhooge vlammenzuilen In het petroleumgebied van Moreni woedt de brand onverminderd voort. Aardschokken verergeren den toestand
1929,DE PETROLEUMBRAND IN MORENI. Ernstige vrees voor uitbreiding.
1930,Petroleumbrand in Rumenië.
1930,De petroleumbrand in Moreni.
1930,De petroleumbrand te  Moreni. Groot gevaar voor uitbreiding.
1930,ROEMENIE. DE PETROLEUMBRAND TE MORENI. Er dreigt nieuw gevaar.
1930,"De petroleumbrand te Moreni. BOEKAREST, 3 Mei (H.N.)"
1927,ASTRA ROMANA. Bron 258 te Moreni-Stovropoleos in het ongereede.
1930,ROEMENIË. DE VUURSPUWENDE PETROLEUM-BRON. Nieuwe phase te Moreni.
1929,DE PETROLEUMBRAND TE MORENI WOEDT NOG STEEDS.
1926,De Roemeensche petroleumindustrie.
1929,ROEMENIË. DE PETROLEUMBRAND IN MORENI.
1925,Ernstige petroleumbrand in Roemenië.
1878,"AMSTERDAM, 4 Febr. Het Nedl. stoomschip"
1930,De petroleumbrand te Moreni.
1916,GEMENGDE BERICHTEN.
1925,ALLERLEI. Roemeensche petroleumsron in brand.
1926,UIT DE ROEMEENSCHE PETROLEUM INDUSTRIE. Gebruik van gas.
1928,UIT DE ROEMEENSCHE PETROLEUMINDUSTRIE. Onveranderde productie-hoogere prijzen voor lichte benzine.
1926,De Roemeensche petroleumindustrie.
1927,UIT DE ROEMEENSCHE PETROLEUM-INDUSTRIE. Astra Romana.
1912,Astra Romaiia.
1929,PETROLEUMBRAND IN MORENI.
1930,Een reusachtige brand woedde in de petroleumbronnen van Moreni.
1928,Bron 30 Moreni der Concordia in werking.
1928,Bron 30 Moreni der Concordia in werking.
1930,PETROLEUMBRAND BIJ MORENI BAART NIEUWE ZORG.
1925,ROEMEEENSCHE PETROLEUMNIJVERHEID. Een nieuwe bron der Concordia. – De brand op het Moreni-terrein.
1926,ROEMEENSCHE PETROLEUMINDUSTRIE. Nieuwe concessies te Moreni-Noord en te Mislea verleend.
1929,De ontzaglijke petroleumbranden bü Moreni ia  Roemenië hebben enorme schade aangericht. De vlamkolommen stegen tot 500 voet hoogte
1929,De ontzaglijke petroleumbranden bij Moreni in Roemenië hebben enorme schade aangericht. De vlamkolommen stegen tot 500 voet boogte
1929,ROEMENIË DE PETROLEUMBRAND. De brand gebluscht.
1925,PETROLEUMBRAND IN ROEMENIË. Het dorp Moreni in vlammen. DE BRANDENDE BRON ZAL WORDEN DICHTGESCHOTEN.
1931,"SPOORWEGONGELUKKEN. — In het Rumeensche petroleumcentrum Moreni, reden twee petroleumtreinen op elkaar en vlogen in brand. Weer 14 dooden."
1927,De Roemeensche petroleum-industrie.
1912,Uit de Petroleumindustrie.
1929,UIT DE ROEMEENSCHE PETROLEUMINDUSTRIE. Steaua Romana.
1924,BUITENLAND. Phcenix Oil.
1927,ASTRA ROMANA. Nieuwe Sonde.
1927,STEAUA ROMANA. Bron aangeboord.
1919,Astra Romana.
1917,Steaua Romana.
1929,Ongeluk met een ketel.
1914,PETROLEUMBRON
1925,GROOTE PETROLEUMBRAND. In de petroleumvel.
1930,DE ROEMEENSCHE PETROLEUMINDUSTRIE.
1959,Expositie Kunstkring
1929,De ontzaglijke petroleumbranden bjj Moreni in
1929,De ontzaglijke petroleumbranden bij Moreni in
1929,WAAR DE AARDE BRANDT. Bij Moreni (Roemenie) is een enorme petroleumbrand uitgebroken; een «teekvlam van tientalten meten hoogte schiet uit den boorput omhoog.
1932,PETROLEUMBRAND.
1932,FINANCIEEL NIEUWS Petroleum-industrie.
1939,BENZINE IN BRAND
1912,Astra Romana.
1920,Astra Romana.
1925,Steaua Romana.
1925,De petroleumband in Roemenië.
1929,ASTRA ROMANA. Nieuwe sonde.
1930,SERVICE PETROLEUM.
1937,DRIE ARBEIDERS BIJ ONTPLOFFING GEDOOD.
1930,"EEN NIET TE STUITEN BRAND. Een foto van den  petroleumbrand te Moreni (Rumenië), die reeds sedert  eenige maanden onverminderd woedt en niet te  bedwingen is."
